epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7081.01,1.70596,1.49029,0.94548,0.30486,0.23291,0.18646,0.10372,1.60961,1.20129,0.89704,0.000237706,0.000237706,0.000237706
2,14268.4,1.68656,1.26138,0.91544,0.36662,0.23614,0.20062,0.11016,1.56139,1.17933,0.88791,0.000463932,0.000463932,0.000463932
3,21393.4,1.67732,1.23982,0.91027,0.34581,0.24852,0.21012,0.11662,1.57359,1.17846,0.88594,0.000678377,0.000678377,0.000678377
4,28506.4,1.66681,1.20365,0.90212,0.37426,0.27018,0.23353,0.12949,1.55075,1.10699,0.88714,0.000660986,0.000660986,0.000660986
5,35593.1,1.62652,1.16207,0.89656,0.37516,0.27927,0.24313,0.13285,1.53843,1.09212,0.87765,0.000643314,0.000643314,0.000643314
6,42731.8,1.61201,1.13688,0.89108,0.39527,0.28455,0.25761,0.14318,1.51363,1.05353,0.87682,0.000625642,0.000625642,0.000625642
7,49807.8,1.59965,1.11691,0.88923,0.40451,0.29141,0.26082,0.14578,1.49518,1.0348,0.87317,0.000607971,0.000607971,0.000607971
8,56892.3,1.58996,1.09346,0.8839,0.40215,0.3021,0.26922,0.14797,1.49563,1.02738,0.87404,0.0005903,0.0005903,0.0005903
9,63994.3,1.57062,1.07958,0.88261,0.39641,0.30105,0.27156,0.15165,1.4975,1.02866,0.87261,0.000572628,0.000572628,0.000572628
10,71096.5,1.54866,1.05845,0.87783,0.40283,0.31075,0.27851,0.15658,1.45368,1.00509,0.86656,0.000554956,0.000554956,0.000554956
11,78171,1.5452,1.05306,0.87698,0.41651,0.30609,0.28092,0.15665,1.45701,1.00919,0.86675,0.000537285,0.000537285,0.000537285
12,85283.7,1.53348,1.03524,0.87538,0.42325,0.31601,0.29258,0.16261,1.45368,0.99849,0.86785,0.000519613,0.000519613,0.000519613
13,92374.5,1.51711,1.0232,0.87404,0.43031,0.31395,0.28976,0.16168,1.44726,1.00375,0.86376,0.000501942,0.000501942,0.000501942
14,99540.2,1.51808,1.01346,0.87077,0.44722,0.3218,0.30124,0.16871,1.43209,0.96928,0.85885,0.000484271,0.000484271,0.000484271
15,106628,1.51311,1.00307,0.86912,0.43568,0.31939,0.2962,0.16837,1.42983,0.98935,0.85991,0.000466599,0.000466599,0.000466599
16,113705,1.49906,0.99364,0.86924,0.44124,0.32141,0.30106,0.17028,1.41919,0.96164,0.85644,0.000448928,0.000448928,0.000448928
17,120770,1.49267,0.97845,0.86422,0.43879,0.33577,0.31018,0.17555,1.41704,0.9482,0.85842,0.000431256,0.000431256,0.000431256
18,127855,1.48359,0.97424,0.86301,0.4314,0.33119,0.30602,0.17462,1.40708,0.95389,0.85514,0.000413584,0.000413584,0.000413584
19,134931,1.47039,0.95594,0.86141,0.45267,0.33265,0.31347,0.17773,1.4065,0.94786,0.85742,0.000395913,0.000395913,0.000395913
20,142011,1.46966,0.95554,0.86069,0.45219,0.33325,0.30948,0.17434,1.41163,0.94512,0.85513,0.000378242,0.000378242,0.000378242
21,149215,1.46162,0.94816,0.85858,0.45895,0.33502,0.31268,0.17743,1.40664,0.9423,0.85614,0.00036057,0.00036057,0.00036057
22,156302,1.45481,0.93257,0.85934,0.46674,0.34351,0.31978,0.18123,1.39187,0.93491,0.85215,0.000342899,0.000342899,0.000342899
23,163372,1.44344,0.92185,0.85703,0.46767,0.33887,0.31943,0.18114,1.39449,0.92897,0.85301,0.000325227,0.000325227,0.000325227
24,170480,1.43164,0.91113,0.85558,0.46237,0.34244,0.32049,0.1815,1.39318,0.9316,0.85371,0.000307555,0.000307555,0.000307555
25,177602,1.4483,0.92149,0.85511,0.45529,0.346,0.32346,0.18306,1.39322,0.93056,0.85248,0.000289884,0.000289884,0.000289884
