epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1144.36,1.9739,2.55316,1.02998,0.28526,0.1699,0.12569,0.0664,1.79096,1.62214,0.98751,0.000237119,0.000237119,0.000237119
2,2293.98,1.82168,1.58964,0.97705,0.22564,0.17093,0.14165,0.07769,1.81144,1.54775,0.95796,0.000467279,0.000467279,0.000467279
3,3398.48,1.7862,1.48813,0.96915,0.26281,0.22302,0.18523,0.10157,1.65809,1.36347,0.95676,0.000689586,0.000689586,0.000689586
4,4535.46,1.73771,1.40988,0.96045,0.3818,0.24097,0.21492,0.11819,1.64541,1.31471,0.94806,0.000678657,0.000678657,0.000678657
5,5664.96,1.71766,1.36156,0.95242,0.28433,0.22697,0.19871,0.10621,1.73154,1.35806,0.97786,0.000666876,0.000666876,0.000666876
6,6800.02,1.69311,1.31777,0.94643,0.31561,0.26181,0.23295,0.13015,1.59267,1.23755,0.93645,0.000655095,0.000655095,0.000655095
7,7975.06,1.67579,1.2954,0.94302,0.31265,0.25954,0.2289,0.12421,1.60259,1.247,0.93101,0.000643314,0.000643314,0.000643314
8,9120.44,1.6713,1.27322,0.94154,0.34764,0.26563,0.24809,0.13697,1.57351,1.21069,0.9308,0.000631533,0.000631533,0.000631533
9,10216.9,1.65964,1.25554,0.93862,0.343,0.27643,0.25394,0.1412,1.58373,1.2005,0.93576,0.000619752,0.000619752,0.000619752
10,11309.1,1.65309,1.2432,0.93529,0.31418,0.27714,0.24299,0.13482,1.58044,1.21909,0.92954,0.000607971,0.000607971,0.000607971
11,12395.6,1.63829,1.23282,0.93392,0.33566,0.27585,0.25192,0.14002,1.56067,1.19806,0.93092,0.00059619,0.00059619,0.00059619
12,13494.7,1.62746,1.21781,0.93199,0.34376,0.26569,0.24871,0.1376,1.56252,1.20323,0.92409,0.000584409,0.000584409,0.000584409
13,14620.3,1.62336,1.2093,0.93069,0.34671,0.28626,0.25902,0.14723,1.53053,1.17285,0.92028,0.000572628,0.000572628,0.000572628
14,15734,1.61388,1.19685,0.92882,0.36824,0.28471,0.26651,0.15061,1.53259,1.16305,0.9183,0.000560847,0.000560847,0.000560847
15,16861.5,1.61676,1.18024,0.92717,0.37834,0.29109,0.27419,0.15627,1.52856,1.15302,0.91921,0.000549066,0.000549066,0.000549066
